"TIME","CH1","CH2","CH3"
-1.8480e+00,0.06,0,-0.02
-1.8476e+00,0.06,0.01,0
-1.8472e+00,0.03,0,0.01
-1.8468e+00,0.03,0,0
-1.8464e+00,0.04,-0.01,-0.01
-1.8460e+00,0.02,0,-0.02
-1.8456e+00,0.05,0.02,0
-1.8452e+00,0.01,-0.02,-0.01
-1.8448e+00,1.42109e-16,-0.02,-0.03
-1.8444e+00,-0.01,-0.02,-0.01
-1.8440e+00,0.01,-0.01,0
-1.8436e+00,-0.04,0.01,-0.01
-1.8432e+00,-0.03,0.02,0
-1.8428e+00,-0.08,-0.03,-0.03
-1.8424e+00,-0.04,-0.01,0
-1.8420e+00,-0.02,0.02,0
-1.8416e+00,-0.05,-0.02,0
-1.8412e+00,-0.06,-0.03,-0.03
-1.8408e+00,-0.07,-0.01,-0.02
-1.8404e+00,-0.06,-0.01,0
-1.8400e+00,-0.07,0,0
-1.8396e+00,-0.05,0.03,0.01
-1.8392e+00,-0.04,-0.01,0.01
-1.8388e+00,-0.05,0.01,-0.02
-1.8384e+00,-0.04,-0.02,0.02
-1.8380e+00,-0.04,0,0.01
-1.8376e+00,-0.02,-0.01,0
-1.8372e+00,-0.04,-0.03,-0.01
-1.8368e+00,-0.03,-0.01,0.01
-1.8364e+00,0.02,-0.01,0.02
-1.8360e+00,0.02,0.01,0.01
-1.8356e+00,-0.01,-0.01,-0.01
-1.8352e+00,0.02,0.01,-0.01
-1.8348e+00,0.02,0,0.01
-1.8344e+00,0.07,0.04,0.01
-1.8340e+00,0.07,0,0
-1.8336e+00,0.04,-0.01,0.01
-1.8332e+00,0.04,-0.03,0
-1.8328e+00,0.06,-0.01,0.01
-1.8324e+00,0.08,0.01,0
-1.8320e+00,0.05,0.01,0
-1.8316e+00,0.06,-0.02,-0.02
-1.8312e+00,0.05,-0.03,0.01
-1.8308e+00,0.06,0.02,-0.01
-1.8304e+00,0.06,0.01,0.01
-1.8300e+00,0.01,-0.01,-0.01
-1.8296e+00,0.03,0,0
-1.8292e+00,0.01,0,0.01
-1.8288e+00,0.06,0.02,0.01
-1.8284e+00,1.42109e-16,0,-0.01
-1.8280e+00,-0.03,-0.02,0.01
-1.8276e+00,-0.01,-0.01,-0.02
-1.8272e+00,-0.02,0,-0.01
-1.8268e+00,-0.02,0,0.01
-1.8264e+00,-0.02,0.02,-0.01
-1.8260e+00,-0.06,-0.01,-0.01
-1.8256e+00,-0.06,0,-0.01
-1.8252e+00,-0.07,0,-0.01
-1.8248e+00,-0.02,0.03,0.01
-1.8244e+00,-0.04,-0.02,-0.01
-1.8240e+00,-0.07,-0.03,-0.02
-1.8236e+00,-0.04,0,0.01
-1.8232e+00,-0.03,0.01,0.02
-1.8228e+00,-0.04,0.04,0.01
-1.8224e+00,-0.05,0.01,-0.01
-1.8220e+00,-0.03,-0.01,-0.03
-1.8216e+00,-0.03,-0.02,0
-1.8212e+00,-0.01,0.03,0.03
-1.8208e+00,1.42109e-16,0.01,0
-1.8204e+00,-0.05,0,-0.02
-1.8200e+00,1.42109e-16,-0.01,-0.01
-1.8196e+00,0.02,0,0.01
-1.8192e+00,0.04,0.04,0.02
-1.8188e+00,0.01,0,0.01
-1.8184e+00,0.01,-0.02,-0.01
-1.8180e+00,0.06,-0.01,-0.01
-1.8176e+00,0.06,0.01,0.01
-1.8172e+00,0.06,0,-0.01
-1.8168e+00,0.06,0,-0.01
