"TIME","CH1","CH2","CH3"
-8.952e-01,-0.01,-0.01,-0.01
-8.950e-01,-0.02,0,-0.01
-8.948e-01,-0.02,0.01,-0.01
-8.946e-01,-0.02,-0.01,0.01
-8.944e-01,-0.02,0.01,0
-8.942e-01,-0.01,0.02,0
-8.940e-01,-0.01,0.02,0
-8.938e-01,0.01,0.01,0.02
-8.936e-01,-0.01,0.02,-0.01
-8.934e-01,-0.01,0,0
-8.932e-01,0.01,0,-0.01
-8.930e-01,1.42109e-16,0.02,0.03
-8.928e-01,-0.03,0.04,0.01
-8.926e-01,1.42109e-16,0.02,0.02
-8.924e-01,-0.01,0.02,0.02
-8.922e-01,1.42109e-16,0,0.01
-8.920e-01,1.42109e-16,0,0
-8.918e-01,-0.01,0.03,0.02
-8.916e-01,-0.01,0.02,0.01
-8.914e-01,0.01,-0.01,0.01
-8.912e-01,-0.01,-0.01,0.01
-8.910e-01,0.01,0,0
-8.908e-01,1.42109e-16,0.01,0.02
-8.906e-01,-0.01,0.01,0
-8.904e-01,0.01,0.02,0.01
-8.902e-01,1.42109e-16,0.01,0
-8.900e-01,-0.01,0.02,0.01
-8.898e-01,1.42109e-16,0.02,0
-8.896e-01,1.42109e-16,0,0.01
-8.894e-01,-0.03,0.01,0
-8.892e-01,-0.01,0.01,0
-8.890e-01,-0.02,0,0
-8.888e-01,-0.01,0.02,0
-8.886e-01,0.01,0,0.01
-8.884e-01,-0.01,0.01,0
-8.882e-01,-0.03,0.01,0
-8.880e-01,-0.01,0,0
-8.878e-01,0.01,0.01,0.01
-8.876e-01,0.01,0,0.01
-8.874e-01,1.42109e-16,-0.01,-0.01
-8.872e-01,-0.02,-0.01,0
-8.870e-01,0.01,0.01,-0.01
-8.868e-01,0.01,0,-0.01
-8.866e-01,-0.02,0.01,0
-8.864e-01,-0.03,-0.01,0
-8.862e-01,-0.01,-0.01,-0.01
-8.860e-01,1.42109e-16,-0.02,-0.01
-8.858e-01,-0.01,-0.01,-0.01
-8.856e-01,-0.02,-0.01,0.01
-8.854e-01,-0.01,-0.02,-0.01
-8.852e-01,-0.01,0,-0.01
-8.850e-01,0.02,0,-0.03
-8.848e-01,-0.01,-0.02,-0.02
-8.846e-01,-0.02,-0.03,-0.01
-8.844e-01,1.42109e-16,-0.02,-0.03
-8.842e-01,-0.02,-0.02,-0.03
-8.840e-01,-0.02,-0.01,-0.03
-8.838e-01,1.42109e-16,-0.01,-0.03
-8.836e-01,1.42109e-16,-0.01,-0.01
-8.834e-01,-0.01,-0.04,-0.02
-8.832e-01,1.42109e-16,-0.03,-0.02
-8.830e-01,1.42109e-16,-0.01,-0.03
-8.828e-01,0.01,-0.01,-0.02
-8.826e-01,-0.01,-0.02,-0.02
-8.824e-01,-0.01,-0.01,-0.01
-8.822e-01,0.01,-0.02,-0.02
-8.820e-01,0.01,-0.02,-0.01
-8.818e-01,-0.01,-0.02,-0.04
-8.816e-01,1.42109e-16,-0.01,-0.01
-8.814e-01,-0.01,-0.03,-0.02
-8.812e-01,-0.03,-0.02,-0.03
-8.810e-01,0.01,-0.02,-0.01
-8.808e-01,-0.01,-0.02,-0.01
-8.806e-01,0.02,-0.01,-0.04
-8.804e-01,-0.02,-0.01,-0.02
-8.802e-01,1.42109e-16,0,-0.02
-8.800e-01,-0.02,0,-0.02
-8.798e-01,-0.02,-0.02,-0.01
-8.796e-01,-0.02,-0.02,-0.01
-8.794e-01,-0.02,0,-0.01
-8.792e-01,-0.01,0,-0.01
-8.790e-01,-0.01,0.01,-0.01
-8.788e-01,0.01,-0.02,-0.02
-8.786e-01,1.42109e-16,0,-0.01
-8.784e-01,-0.01,0,0
-8.782e-01,-0.03,0,-0.01
-8.780e-01,-0.01,0.02,0.01
-8.778e-01,1.42109e-16,0.01,0
-8.776e-01,0.02,0,0.01
-8.774e-01,-0.01,-0.01,0
-8.772e-01,1.42109e-16,0.01,0
-8.770e-01,0.01,0,-0.01
-8.768e-01,0.01,0.03,0.01
-8.766e-01,0.02,0.01,0.02
-8.764e-01,0.01,0,0.01
-8.762e-01,-0.02,0.01,0.01
-8.760e-01,1.42109e-16,0.01,0.01
-8.758e-01,-0.02,0,0.02
-8.756e-01,1.42109e-16,0.01,0
-8.754e-01,1.42109e-16,0.01,0.01
-8.752e-01,-0.01,0.01,0.02
-8.750e-01,-0.01,0.03,0.01
-8.748e-01,-0.01,0.03,0
-8.746e-01,1.42109e-16,0.03,0
-8.744e-01,1.42109e-16,0.01,0
-8.742e-01,1.42109e-16,0.01,-0.01
-8.740e-01,0.01,0.02,0
-8.738e-01,0.01,0.01,0.01
-8.736e-01,-0.03,0.02,-0.01
-8.734e-01,0.01,-0.01,0.01
-8.732e-01,-0.03,0.01,0.02
-8.730e-01,-0.01,0.01,0.02
-8.728e-01,-0.01,0.02,0.02
-8.726e-01,-0.02,0,0.01
-8.724e-01,-0.01,0.02,0.01
-8.722e-01,-0.01,0.01,-0.01
-8.720e-01,-0.01,0,0
